id,app_names,smash_css_names,ultimate_sounds,smash4_sounds,brawl_sounds,melee_sounds,n64_sounds
49,Lucario,lucario,Super Smash Bros Ultimate/Announcer/vc_narration_characall_lucario.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Lucario.wav,group_narration_characall/Wave32.wav,,
50,Rob,robot,Super Smash Bros Ultimate/Announcer/vc_narration_characall_robot.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Robot.wav,group_narration_characall/Wave34.wav,,
51,Toon Link,toon_link,Super Smash Bros Ultimate/Announcer/vc_narration_characall_toonlink.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Toonlink.wav,group_narration_characall/Wave36.wav,,
52,Wolf,wolf,Super Smash Bros Ultimate/Announcer/vc_narration_characall_wolf.wav,,group_narration_characall/Wave37.wav,,
53,Villager,murabito,Super Smash Bros Ultimate/Announcer/vc_narration_characall_murabito.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Murabito.wav,,,
54,Mega Man,rockman,Super Smash Bros Ultimate/Announcer/vc_narration_characall_rockman.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Rockman.wav,,,
55,Wii Fit Trainer,wii_fit_trainer,Super Smash Bros Ultimate/Announcer/vc_narration_characall_wiifit.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Wiifit.wav,,,
56,Rosalina & Luma,rosetta_and_chiko,Super Smash Bros Ultimate/Announcer/vc_narration_characall_rosetta.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Rosetta.wav,,,
57,Little Mac,little_mac,Super Smash Bros Ultimate/Announcer/vc_narration_characall_littlemac.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Littlemac.wav,,,
58,Greninja,gekkouga,Super Smash Bros Ultimate/Announcer/vc_narration_characall_gekkouga.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Gekkouga.wav,,,
59,Palutena,palutena,Super Smash Bros Ultimate/Announcer/vc_narration_characall_palutena.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Palutena.wav,,,
60,Pac Man,pac_man,Super Smash Bros Ultimate/Announcer/vc_narration_characall_pacman.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Pacman.wav,,,
61,Robin,reflet,Super Smash Bros Ultimate/Announcer/vc_narration_characall_reflet.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Reflet.wav,,,
62,Shulk,shulk,Super Smash Bros Ultimate/Announcer/vc_narration_characall_shulk.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Shulk.wav,,,
63,Bowser Jr,koopa_jr,Super Smash Bros Ultimate/Announcer/vc_narration_characall_koopajr.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Koopajr.wav,,,
64,Duck Hunt,duck_hunt,Super Smash Bros Ultimate/Announcer/vc_narration_characall_duckhunt.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Duckhunt.wav,,,
65,Ryu,ryu,Super Smash Bros Ultimate/Announcer/vc_narration_characall_ryu.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Ryu.wav,,,
66,Ken,ken,Super Smash Bros Ultimate/Announcer/vc_narration_characall_ken.wav,,,,
67,Cloud,cloud,Super Smash Bros Ultimate/Announcer/vc_narration_characall_cloud.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Cloud.wav,,,
68,Corrin,kamui,Super Smash Bros Ultimate/Announcer/vc_narration_characall_kamui.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Kamui.wav,,,
69,Bayonetta,bayonetta,Super Smash Bros Ultimate/Announcer/vc_narration_characall_bayonetta.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_Bayonetta.wav,,,
70,Inkling,inkling,Super Smash Bros Ultimate/Announcer/vc_narration_characall_inkling.wav,,,,
